bano_cuarto,bano_escalera,cocina,cuarto,entrada,escalera,estudiof,estudiot,puerta,sala,tv,vestidor,consumo,id
0,0,0,0,0,0,0,0,0,0,0.18,0.32,13620,36
0,0,0,0.34,0,0,0,0,0,0,0,0,2290,37
0,0,0,0,0,0,0,0,0,0,0,0,5210,38
0,0,0,0.05,0,0,0,0,0,0,0.88,0,3840,39
0,0,0.02,0.12,0,0.03,0.03,0,0.03,0,1,0.05,5820,40
0,0,0,0,0,0,0,0,0,0,0,0,4270,41
0,0.02,0,0.02,0,0,0,0,0,0,0,0,2825,42
0,0,0,0,0,0,0,0,0,0,0,0.99,2480,43
0,0,0,0,0,0,0,0,0,0.98,0,0,3575,44
0,0,0,0,0,0,0,0,0,0,0,0,3020,45
0,0,0,0.19,0,0,0,0,0,0,0,0,2410,46
0,0,0,0.04,0,0,0,0,0,0,0,0,3430,47
0,0,0.52,0.48,0.65,0.29,0.29,0.46,0.66,0,0.29,0.98,4130,48
0,0,0.81,0.99,0.21,0.88,0.32,0,0.88,0,0.07,0,4270,49
0,0,0,0.01,0,0,0,0,0,0,0,0,1990,50
0,0,0,0,0,0,0,0,0,0,0,1,6140,51
0,0,1,0.26,0.01,0.46,0.24,0.45,0.56,0,0,0.99,3245,52
0,0,0,0.01,0,0,0,0,0,0,0,0,2490,53
0,0,0,0.11,0,0,0.03,0,0,0,0.03,0,3210,54
0,0,0.05,0.07,0,0,0,0,0.06,0.09,0,0,3940,55
0,0,0,0.75,0,0,0,0,0,0,0,0,3500,56
0,0,0,0.45,0,0.02,0.19,0.34,0,0,0.19,0,2780,57
0,0,0,0.42,0,0.43,0.46,0,0,0,0.6,0.58,2230,58
0,0,0,0.78,0,0,0,0,0.01,0,0,0,11960,59
0,0,0,0.81,0,0,0,0,0,0,0,0,3200,60
0,0,0,0.05,0,0,0,0,0,0,0,0,1910,61
0,0,0,0.88,0,0.05,0.05,0,0,0,0.99,1,2940,62
0,0,0,0,0,0,0,0,0,0,0,0.99,3680,63
0,0,0,0,0,0,0,0,0,0,0,0,2740,64
0,0,0,0.86,0,0,0.04,0,0.03,0,0,0,3650,65
0,0,0,0.11,0,0,0,0,0,0.01,0,0,5290,66
0,0,0,0.31,0,0,0,0,0,0,0,0,2990,67
0,0,0,0,0,0,0,0,0,0,0,0,12760,68
0,0,0,0.96,0,0.96,0.47,0.95,0,0,0,0,5860,69
0,0,0,0.85,0,0,0,0,0,0,0,0.16,2260,70
0,0,0,0,0,0,0,0,0,0,0.12,0.06,5240,71
0,0,0,0,0,0,0,0,0,0,0,0,3540,72
0.89,0,0.01,0.79,0,0.01,0.01,0,0.01,0.01,0.84,0.97,3990,73
0,0,0,0.9,0,0,0,0,0,0,0,0.98,4300,74
0.84,0.12,0,0.94,0,0.11,0.11,0,0,0,0.02,0.98,4640,75
0,0,0,0.77,0,0.01,0,0.01,0,0,0,0.88,3370,76
0,0.02,0,0.28,0,0.02,0,0,0,0,0,0.99,2044.5,77
0,0,0,0,0,0,0,0,0,0,0,0.99,3305,78
0,0,0,0,0,0,0,0,0,0,0.15,0,2580,79
0,0,0,0.62,0,0,0.2,0.19,0,0,0.13,0.99,7250,80
0,0,0,0.17,0,0,0,0,0,0,0.48,0.95,6370,81
0,0,0,0.98,0,0,0,0,0,0,0,1,3530,82
0,0,0.46,0.99,0,0.49,0,0,0.47,0.49,0,0.98,4270,83
0.04,0.05,0,0.97,0,0.78,0.1,1,0,0,0.08,0.98,4990,84
0,0,0,0.98,0,0.01,0.01,0.07,0,0,0.99,1,4210,85
0,0,0.99,0.42,0,0.05,0.05,0,0.05,0.01,0.05,0.99,4190,86
0,0,0,0.04,0,0,0,0,0,0,0.99,0.99,3830,87
0,0.01,0.98,0,0.77,0,0,0,0.84,0,0,0,14520,88
0,0,0,0.95,0.93,0,0.01,0,0.99,0.99,0.01,0,2740,89
0,0,0,0.02,0,0,0,0,0,0,0,0.99,6200,90
0,0,0,0.25,0,0,0,0,0,0,0.81,0,6410,91
0,0,0,0.99,0,0,0,0,0,0,0,0,4890,92
0,0,0,0.66,0,0,0.07,0.2,0,0,0,0.15,3300,93
0,0,0,0.06,0,0,0,0,0,0,0,0.99,3360,94
0,0,0,0.95,0,0,0,0,0,0,0,0.83,4240,95
0,0,0,0,0,0,0,0,0,0,0.04,0,15080,96
0,0,0,0.88,0,0,0,0,0,0.03,0.05,0.99,5010,97
0,0,0,0.94,0,0,0.4,0,0,0,0.99,0.99,6510,98
0,0,0,0.03,0,0,0,0,0,0,0,0,2760,99
0,0,0.15,0.2,0,0.24,0.01,0,0.86,0.97,0.01,0.99,4255,100
0,0,0,0.69,0,0,0,0,0,0,0.02,0.98,13750,101
0,0,0,0.26,0,0,0,0,0,0,0,0,2270,102
0,0,0,0.96,0,0,0,0,0,0,0.99,0.01,6170,103
0,0,0,0.09,0,0,0,0,0,0,0,0,2980,104
0,0,0,0.35,0,0,0,0,0,0,0,0.99,2350,105
0.15,0,0,0.18,0,0,0,0,0,0,0,0,15100,106
0,0,0,0,0,0,0,0,0,0,0.04,0,1960,107
0,0,0.05,0.06,0.05,0.01,0.01,0.01,0.35,0.01,0.23,1,3630,108
0,0,0,0.86,0,0,0,0,0,0,0,0.99,3370,109
0,0,0.98,0.64,0,0,0,0,0,0,0.1,0.08,10455,110
0,0,0,0.82,0,0,0,0,0,0,0,0,5490,111
0,0,0,0.44,0,0,0.01,0,0,0,0.31,0,4500,112
0,0,0,0.04,0,0,0,0,0,0,0,0,3610,113
0,0,0,0.18,0,0.09,0.11,0,0,0,0.53,0.54,2310,114
0,0,0,0.27,0,0,0,0,0,0,0.88,0.01,3110,115
0,0,0,0.86,0,0,0,0,0,0,0,0,11830,116
0,0,0,0.1,0,0,0,0,0,0,0,0,3265,117
0,0,0,0.03,0,0,0,0.44,0,0,0,0,3870,118
0,0,0,0,0,0,0,0,0,0,0,0.97,3450,119
0.01,0,0.03,0.11,0,0.01,0,0,0.01,0.01,0,0.99,6830,120
0.07,0,0.47,0.59,0,0.49,0.12,0.1,0.46,0.48,0.67,0,3460,121
0,0,0.23,0.08,0,0.07,0.07,0,0.08,0,0.07,0.09,12970,122
0.96,0,0,0.24,0,0,0,0,0,0,0,0,6810,123
0,0,0,0.04,0,0,0,0,0,0,0,0.99,2420,124
0,0,0,0.98,0,0,0,0,0,0,0,0.98,12670,125
0,0,0,0.07,0,0,0,0,0,0,0,0,5490,126
0,0,0,0.03,0,0,0,0,0,0,0,0.98,2360,127
0,0,0,0.73,0,0,0,0,0,0,0.01,0,14670,128
0.03,0,0,0,0,0,0,0,0,0,0,0,6360,129
0.2,0,0.19,0.23,0.27,0.22,0.09,0.02,0.3,0,0.08,0.99,5070,130
0,0,0,0.29,0,0,0,0,0,0,0,0,2490,131
0,0,0,0,0,0.14,0.08,0,0.15,0,0.08,0,3390,132
0,0,0,0,0,0,0,0,0,0.94,0,0,2620,133
0,0,0,0.18,0,0,0,0,0,0,0.05,1,5750,134
0,0,0,0,0,0,0,0,0,0,0,0,2300,135
0,0,0,0.89,0,0,0,0,0,0,0,0,4010,136
0,0,0,0.25,0,0.14,0,0,0.13,0,0.99,0.87,5225,137
0,0,0,0,0,0,0,0,0,0,0.53,0.99,5850,138
0,0,0,0,0,0,0,0,0,0,0.97,0.76,6120,139
0,0,0,0.16,0,0,0,0,0,0,0,0,2980,140
0.25,0,0,0.08,0,0,0,0,0,0,0,0,10650,141
0,0,0,0.85,0,0,0,0,0,0,0.12,0.08,3830,142
0,0,0,0.67,0,0,0,0,0,0,0,0,3570,143
0.39,0,0,0.8,0.2,0.21,0,0,0.2,0,0,0,11950,144
0,0,0.01,0.95,0,0.01,0.01,0,0.01,0.01,0.02,0.05,10690,145
0,0,0.98,0.74,0.36,0.97,0.31,0.95,0.64,0.66,0.3,0,3480,146
0,0,0,0,0,0,0,0,0,0,0,0,3930,147
0,0,0,0,0,0,0,0,0,0,0,0,2370,148
0,0,0,0.01,0,0,0,0,0,0,0.7,0,6970,149
0,0,0,0,0,0,0,0,0,0,0.05,0,12810,150
0,0,0,0,0.02,0.01,0.01,0,0.02,0,0.01,0,5660,151
0,0,0,0.01,0,0.04,0.07,0,0,0,0.42,1,3630,152
0,0,0,0.01,0,0,0,0,0,0,0,0.99,4050,153
0,0,1,0.48,0,0.35,0.37,0,0.4,0,0.37,0.99,28690,154
0,0,0,0,0,0,0,0,0,0,0,0,2600,155
0,0,0,0.06,0,0,0,0.02,0,0,0,0.99,7690,156
0,0,0,0,0,0,0,0,0,0,0.6,0,4600,157
0,0,0,0.32,0,0,0,0.01,0,0,0.65,0.99,5660,158
0,0,0.3,0.43,0,0.33,0.17,0.94,0.32,0,0.16,0.13,5460,159
0,0,0,0,0,0,0,0,0,0,0,0,6210,160
0,0,0,0.04,0,0,0,0,0,0,0,0,3330,161
0,0,0.02,0.46,0,0.02,0.04,0,0.02,0,0.04,0,2220,162
0,0.98,0,0.97,0,0,0,0,0,0,0,0,3290,163
0,0,0,0,0,0,0,0,0,0,0,0,3060,164
0,0,0,0,0,0,0,0,0,0,0,0,3410,165
0,0,0,0.36,0,0,0,0,0,0,0,0.99,4315,166
0,0,0,0.75,0,0.3,0,0.31,0,0,0,0,16070,167
0,0,0,0,0,0,0,0,0,0,0,0,6180,168
0,0,0,0.26,0,0,0,0,0,0,0,0,2250,169
0,0,0,0,0,0,0,0,0,0,0,0,10360,170
0,0,0,0,0,0,0,0,0,0,0.01,1,3340,171
0,0,0,0.35,0,0,0,0,0,0,0,0,1990,172
0,0,0,0,0,0,0,0,0,0,0,0.96,2540,173
0,0,0,0.83,0,0,0,0,0,0,0,0,3650,174
0,0,0,0,0,0,0,0,0,0,0,0,6770,175
0,0,0,0.61,0,0,0,0,0,0,0,0,2e3,176
0,0,0,0,0,0,0.04,0,0,0,0.01,0.01,4220,177
0,0,0,0.1,0,0,0.01,0,0,0,0.54,0.59,15540,178
0,0,0,0,0,0,0,0,0,0,0,0.99,3475,179
0,0,0,0.04,0,0,0,0,0,0,0,0.99,10915,180
0,0,0,0,0,0,0,0,0,0,0,0,3700,181
0,0,0,0,0,0,0,0.01,0,0,0,0,3310,182
0,0,0,0.99,0,0,0,0,0,0,0,0,3585,183
0,0,0.07,0.08,0,0.07,0,0.98,0.08,0,0,0.99,4480,184
0,0,0,0,0,0,0,0,0,0,0.06,0.07,6150,185
0,0,0,0.12,0,0,0,0,0,0,0,0,1980,186
0,0,0,0.14,0,0,0,0,0,0,0.98,0.99,5440,187
0,0,0,0.82,0,0,0.33,0,0,0,0.33,0,7260,188
0,0,0,0.03,0,0,0,0.18,0,0,0,0,3760,189
0.04,0,0,0.17,0,0,0,0.1,0,0,0,0,4205,190
0,0,0,0.22,0,0,0,0,0,0,0,0.99,2500,191
0,0,0,0.36,0,0,0,0,0,0,0,0,3620,192
0,0,0,0,0,0,0,0,0,0,0,0,3620,193
0,0,0,0,0,0,0,0,0,0,0.23,0.65,3700,194
0,0,0,0.48,0,0,0,0,0,0,0,0.99,3480,195
0,0,0,0.09,0,0,0,0,0,0,0,0,3080,196
0,0,0,0.11,0,0,0,0,0,0,0.11,0,6165,197
0,0,0,0.98,0,0,0,0,0,0,0.02,0,5770,198
0,0,0,0,0,0,0,0,0,0,0.05,0.98,4585,199
0,0,0,0,0,0,0,0,0,0,0,0.99,4875,200
0,0,0,0.01,0,0,0,0,0,0,0,0.98,5140,201
0,0,0.36,0.41,0.12,0.37,0.46,0,0.82,0,0.97,0.13,6270,202
0,0,0.1,0.25,0.93,0,0,0,0.93,1,0.01,0,3440,203
0.01,0,0,0.71,0,0.02,0.01,0,0,0,0,0.99,3500,204
0,0,0,0.53,0,0,0,0,0,0,0,0.99,3120,205
0,0,0,0.15,0,0,0,0,0,0,0,0,4300,206
0,0,0.93,0.72,0.1,0.62,0,0,0.99,0.98,0,0,3640,207
0.04,0,0,0.92,0,0,0,0,0,0,0,0.01,3130,208
0.65,0,0,0,0,0.14,0.01,0,0,0.02,0.12,0,5970,209
0.14,0,0,0.01,0,0,0,0,0,0,0,0,3590,210
0,0,0,0.31,0,0,0,0,0,0,0,1,2400,211
0,0,1,0.97,0,0.01,0.01,0,0.01,0.01,0.01,0,15620,212
0,0,0,0.26,0,0,0,0,0,0,0,0,5300,213
0,0,0,0.17,0,0,0,0,0,0,0,0,3100,214
0,0,0,0,0,0,0,0,0,0,0,0,3150,215
0,0,0.52,0.01,0.59,0,0,0,0.83,0.58,0.16,0,14850,216
0.62,0,0,0,0,0,0,0,0,0,0,0.74,3120,217
0,0,0,0.99,0,0,0,0,0,0,0,0,3030,218
0,0,0,0.75,0,0,0,0,0,0,0,0,2505,219
0,0,0,0,0,0,0,0,0,0,0,0,2270,220
0,0,0,0.8,0,0,0,0,0,0,0,0,2900,221
0,0,0,0.48,0,0,0,0.51,0,0,0,0,3780,222
0,0,0,0.17,0,0,0,0,0,0,0,0,3350,223
0,0,0,0.59,0,0,0,0.36,0,0,0,0,4595,224
0,0,0,0.15,0,0,0,0,0,0,0,0,2920,225
0,0.58,0.05,0.51,0,0.58,0,0.99,0.06,0.02,0.73,0.98,5375,226
0,0,0,0.14,0,0,0,0,0,0,0,0.98,2860,227
0,0,0,0.2,0,0,0,0,0,0,0,1,2890,228
0,0,0,0,0,0,0,0,0,0,0.14,0,6555,229
0,0,0,0.85,0,0,0,0,0,0,0,0.98,1970,230
0.08,0,0,0.32,0,0,0.12,0.98,0,0,0.99,0,4080,231
0,0.02,0.99,0.98,0.69,0.69,0.01,0,0.87,0,0.01,0,11710,232
0,0,0,0,0,0,0,0,0,0,0,0,1820,233
0,0,0,0,0,0,0,0,0,0,0,0.99,2760,234
0,0,0,0.09,0,0,0,0,0,0,0.7,0.65,3190,235
0,0,0,0.05,0,0,0,0,0,0,0.39,0.65,4400,236
0,0,0,0.49,0,0,0,0,0,0,0,0,2460,237
0,0.02,0,0.03,0,0,0,0,0,0,0,1,2800,238
0,0,0,0.91,0,0,0,0,0,0,0,0,3010,239
0,0,0,0.01,0,0,0.01,0,0,0,0.82,0,14410,240
0.84,0.97,0.8,0.95,0,0.87,0,0,0.83,0.84,0.05,0.02,9810,241
0,0,0,0.56,0,0,0,0,0,0,0,1,3500,242
0,0,0.95,0.22,0.04,0.04,0.05,0,0.04,0,0.18,0.16,21660,243
0,0,0,0,0,0,0,0,0,0,0,0,3040,244
0,0,0,0,0,0.01,0,0,0.01,0,0,0,2730,245
0,0,0,0.05,0,0,0,0,0,0,0,0,12050,246
0,0,0.99,0.18,0.05,0,0,0,0.06,0,0.01,0.94,11740,247
0,0,0,0,0,0,0,0,0,0,0.99,0.86,3500,248
0,0,0,0.02,0,0,0,0,0,0,0.99,0,4170,249
0,0,0.23,0.63,0,0.24,0,0,0.24,0,0,0.74,4830,250
0,0.11,0.99,0.82,0,0.83,0.11,0,0.94,0.07,0.11,0.99,4210,251
0,0,0,0.56,0,0,0.01,0,0,0,0.98,0.98,13625,252
0,0,0,0.06,0,0,0,0,0,0,0,0,10500,253
0,0,0.01,0.09,0,0.09,0.14,0.23,0.01,0.01,0.14,0,4160,254
0,0,0,0.39,0,0,0,0,0,0,0,0,2235,255
0,0,0,0.22,0,0,0,0,0,0,0,0,2545,256
0,0,0,0.01,0,0,0,0,0,0,0,0,2340,257
0,0,0,1,0,0,0,0,0,0,0,0,2300,258
0,0,0,0.6,0,0,0,0,0,0,0,0.41,2470,259
0,0,0,0,0,0,0,0.68,0,0,0.42,0,4540,260
0,0,0.41,0.5,0,0.47,0.28,0.93,0.45,0.03,0.98,0.98,13290,261
0,0.24,0,0.5,0,0.03,0.2,0.03,0,0,0.21,0,6410,262
0,0,0.99,0.93,0,0.28,0.27,0.24,0.37,0.4,0,0,3940,263
0,0,0,0.96,0,0,0,0,0,0,0,0,3025,264
0,0,0,0.87,0,0.88,0.01,0,0.95,0,0,0,4570,265
0,0,0.01,0.01,0,0.1,0,0,0.12,0.78,0,1,2890,266
0,0,0,0.02,0,0,0,0,0,0,0.02,0.98,16710,267
0,0,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.98,0.97,11820,268
0,0,0.48,0.3,0,0,0,0,0.5,0.59,0,0,4420,269
0,0,0,0,0,0,0,0,0,0,0,0,11140,270
0,0,0.71,0.93,0,0.26,0,0.33,0.34,0,0,0.99,4180,271
0.01,0,0,0,0,0,0,0,0,0.03,0,0,3190,272
0,0,0,0.92,0,0,0,0,0,0,0,0,3090,273
0,0,0,0.34,0,0,0,0,0,0,0.71,0.32,4150,274
0,0,0.99,0.96,0,0,0,0,0.11,0,0,0.62,11530,275
0,0,0,0.18,0,0,0,0,0,0,1,0.99,10860,276
0,0,0,0.11,0,0,0,0,0,0,0,0.98,4150,277
0,0,0,0.99,0,0,0,0,0,0,0,0.98,3330,278
0,0,0,0.81,0,0,0,0,0,0,0,0.99,5440,279
0,0,0.99,0.08,0,0,0,0,0,0,0,0.99,10605,280
0,0,0,0.35,0,0,0.4,0,0,0,0,0,2470,281
0,0,0,0.15,0,0,0,0,0,0,0.47,0.98,2950,282
0,0,0,0.17,0,0,0,0,0,0,0,0,2720,283
0,0,0,0.01,0,0,0,0,0,0,0,0.95,2900,284
0,0,0.99,0.86,0,0.05,0.01,0,0.96,0.79,0.01,0.98,4290,285
0,0,0,0,0,0,0,0,0,0,0,0,4375,286
0,0,0,0.19,0,0,0,0,0,0,0,0,2240,287
0.11,0.77,0.26,0.96,0,0.76,0.47,0.57,0.29,0.16,0,1,5220,288
0,0,0.99,0.76,0,0.03,0.01,0.03,0.04,0.05,0.01,0.01,5235,289
0,0,0,0.08,0,0,0,0,0,0,0,0,5090,290
0,0,0,0.94,0,0,0,0,0,0,0,0.99,3170,291
0.11,0,0,0.15,0,0,0.19,0,0,0,1,0.57,13470,292
0,0,0,0.06,0,0,0,0,0,0,0.06,0.19,2770,293
0,0,0,0.07,0,0,0,0,0,0,1,0.16,3290,294
0,0,0,0.7,0,0,0,0,0,0,0,0,2780,295
0.26,0,0,0,0,0,0,0,0,0,0,0,7180,296
0,0,0,0,0,0,0,0,0,0,0.99,0.85,3510,297
0,0,0,0.14,0,0.03,0.05,0,0.03,0,0.03,0,5690,298
0,0,0,0,0,0,0,0,0,0,0.99,0,14230,299
0,0,0,0,0,0,0,0,0,0,0,0.99,12930,300
0,0,0,0.28,0,0,0,0,0,0,0,0,3490,301
0,0,0,0.31,0,0.32,0.35,0.39,0,0,0.99,0,3740,302
0,0,0,0,0,0,0,0,0,0,0.99,0.11,13120,303
0,0,0,0.39,0,0,0.01,0,0,0,0.5,0,10110,304
0,0,0,0,0,0,0,0,0,0,0,0,5230,305
0,0,0,1,0,0,0,0,0,0,0,0,4310,306
0,0,0,0.65,0,0,0,0,0,0,0,0,3420,307
0.01,0,0,0,0,0.01,0.08,0,0.01,0.01,0,0,3870,308
0,0,0,0.54,0,0,0,0,0,0,0,0,2260,309
0,0,0,0.01,0,0.1,0,0,0,0,0,0,3110,310
0,0,0,0,0,0,0,0,0,0,0,0.99,2940,311
0,0,0,0,0,0,0,0,0,0,0,0.99,2760,312
0,0,0,0,0,0,0,0,0,0,0,0,2660,313
0,0,0.95,0.49,0,0.07,0,0,0.17,0.18,0,0,14810,314
0,0,0,0.07,0,0,0,0,0,0,0,0,3465,315
0,0,0,0.67,0,0,0,0,0,0,0,0.98,3900,316
0,0,0,0.03,0,0.01,0,0.01,0,0,0,0,2200,317
0,0,0,0.68,0,0,0,0,0,0,0,0.99,3215,318
0,0,1,0.35,0.01,0.01,0,0,0.87,0.84,0,0,2930,319
0,0,0.94,0.78,0,0,0.01,0,0,0,0,1,3970,320
0,0,0,0.74,0,0,0,0,0,0,0.92,1,3790,321
0,0,0,0.21,0,0,0,0,0,0,0,1,3995,322
0,0,0,0,0,0,0,0,0,0,0.05,0.03,3790,323
0,0,0,0,0,0.01,0.04,0.82,0,0.13,0.01,0,3870,324
0,0,0,0.25,0,0,0.35,0,0,0,0.85,0.43,2380,325
0,0,0,0.19,0,0,0,0,0,0,0.39,0,4260,326
0,0,0,0.04,0,0,0,0,0,0,0,0,2920,327
0,0,0,0,0,0,0,0,0,0,0,1,13400,328
0,0,0,0.99,0,0,0,0,0,0,0,0,2850,329
0,0.91,0.07,0.99,0,0.76,0,0.04,0.75,0.89,0,1,4490,330
0,0,0,0.83,0,0,0.43,0,0,0,0.42,0.22,6870,331
0,0,0.98,0.98,0,0,0,0,0.69,0.59,0,0,3100,332
0,0,0,0,0,0,0,0,0,0,0,0.99,2055,333
0,0,0.99,0.77,0,0,0,0,0,0,0,0.74,11940,334
0,0,0,0.86,0,0,0.01,0,0,0,0.04,0.99,6150,335
0,0.95,0,0.18,0,0,0,0,0,0,0,0,3940,336
0.69,0,0.01,0.69,0,0.6,0,0,0.59,0.6,0,0.99,3600,337
0,0,0,0.04,0,0,0,0,0,0,0,0,2630,338
0,0,0,0.94,0,0,0,0,0,0,0,0,7610,339
0,0,0,0.02,0,0,0,0,0,0,0,1,4650,340
0,0,0,0.78,0,0,0,0,0,0,0.66,0,2665,341
0,0,0,0.83,0,1,0,0.98,0,0,0,0,3640,342
0,0,0,0.09,0,0.4,0,0,0.37,0,0,0,3450,343
0,0,0,0,0,0,0,0,0.01,0,0.73,0.11,2770,344
0,0,0,0.98,0,0,0,0,0,0,0,0,3140,345
0,0,0,0.27,0,0,0.43,0,0,0,0.81,0,4380,346
0,0,0,0.01,0.01,0,0,0,0.01,0,0,0.99,4044.5,347
0,0,0,0.81,0,0,0,0,0,0,0,0,3985,348
0,0,0,0.92,0,0,0,0.01,0,0,0,0.99,3770,349
0,0,0,0.29,0,0,0,0,0,0,0.32,0.55,6500,350
0,0,0,0.98,0,0,0,0,0,0,0,0,3720,351
0,0,0,0.79,0,0,0,0,0,0,0,0.97,5670,352
0,0,0.16,0.24,0,0.16,0.21,0.17,0.16,0.16,0.78,0.4,13820,353
0,0,0.71,0.93,0.97,0,0,0,0.97,0,0,0.39,11490,354
0,0,0,0.01,0,0,0,0,0,0,0.17,0,16315,355
0,0,0,0.01,0,0,0,0,0,0,0,0,3180,356
0,0,0,0.6,0,0,0.47,0,0,0,0.41,0.98,4420,357
0,0,1,0.94,0.12,0,0,0,0.13,0.14,0,0,21160,358
0,0.46,0,0.96,0.15,0.31,0.04,0.29,0.93,0.27,0.08,0,14660,359
0,0,0,0,0,0,0,0,0,0,0,0,2990,360
0,0,0,0.01,0,0,0,0,0,0,0,1,2770,361
0,0,0,0.02,0.01,0.02,0.02,0,0.01,0,0.09,1,2790,362
0,0.03,0,0.6,0,0.43,0,0.02,0,0,0,0,5310,363
0,0,0,0,0,0,0,0.49,0,0,0,0.98,3240,364
0,0.06,0,0.08,0,0,0.44,0,0,0,0.43,0,3220,365
0,0,0,0.28,0,0,0,0,0,0,0,0,2240,366
0.43,0.01,0.67,0.89,0.4,0.7,0,0,0.68,0,0,0,3530,367
0,0,0,0.45,0,0,0,0,0,0,0.83,0,11370,368
0,0,0,0.31,0,0,0,0.02,0,0,0,0,2820,369
0,0,0,0.05,0,0,0,0,0,0,0,0,7840,370
0,0,0,0.9,0,0,0,0,0,0,0,1,4480,371
0,0,0,0.01,0,0,0,0,0,0,0,0,2540,372
0,0,0,0.02,0,0,0,0,0,0,0,0,1895,373
0,0,0,0.6,0,0,0,0,0,0,0,0,3255,374
0,0,0,1,0,0.57,0,0,0.59,0,0,0,2910,375
0,0,0,0.96,0,0,0.01,0,0,0,0.55,0.97,4030,376
0,0.02,0.99,0.41,0,0.14,0,0.01,0.16,0.17,0,0,7230,377
0,0,0,0.08,0,0,0,0,0,0,0,0,2380,378
0,0,0,0,0,0,0,0,0,0,0,0,5470,379
0.95,0,0.36,0.86,0.93,0.13,0.09,0.07,0.93,0.82,0.76,0.9,3830,380
0,0,0,0.08,0,0,0,0,0,0,0,0,3e3,381
0,0.46,0.98,0.97,0.99,0.66,0.23,0.46,0.95,0,0.22,0.19,4620,382
0,0,0.98,0.59,0.56,0.4,0.41,0.31,0.6,0.57,0,0.99,4750,383
0,0,0,0,0,0,0,0,0,0,0,0,2260,384
0,0,0,0.36,0,0,0,0,0,0,0.55,0.77,14290,385
0,0,0,0,0,0,0,0,0.01,0.79,0,0,3415,386
0,0,0,0.11,0,0.01,0.01,0,0,0,0.01,0,2270,387
0,0,0,0,0,0,0,0,0,0,0.98,0.99,2920,388
0,0,0,0,0,0,0,0,0,0,0.98,0,3330,389
0,0,0,0,0,0,0,0,0,0,0,0.98,4970,390
0,0,0,0.1,0,0,0,0,0,0,0,0.98,4140,391
0,0,0,0,0,0,0,0,0,0,0.08,0,6040,392
0,0,0,0.95,0,0,0,0,0,0,0,0,2825,393
0.49,0.3,0,0.81,0,0.85,0.2,0.83,0,0,0.19,0.17,3640,394
0,0,0,0.32,0,0,0,0,0,0,0,0,1920,395
0,0,0,0,0,0,0,0,0,0,0,0,1960,396
0,0,0,0,0,0,0,0,0,0.92,0,0,3350,397
0,0,0,0.57,0,0,0,0,0,0,0,0,3110,398
0,0,0,0.75,0,0,0,0,0,0,0,0.99,2790,399
0,0,0,0.02,0,0,0,0,0,0,0.08,0,7200,400
0,0.03,0,0.74,0,0.03,0,0.28,0,0,0,0,4115,401
0,0.23,0.97,0.29,0.57,0.3,0.01,0,0.62,0,0,0.13,3250,402
